gene,expressed_in_human_nhp,No_variability_within_classes,Div_in_ExN,Div_in_InN,Div_in_NonN,Div_in_atleast1class,human_mammal_adj_pval,human_vert_adj_pval,Div_in_bulk,Divergence_category
SNRPE,1,FALSE,0,0,1,1,1,1,0,Diverged_in_single-cell
SNRPF,1,FALSE,1,1,1,1,0.973074119,1,0,Diverged_in_single-cell
SNRPG,1,FALSE,1,0,0,1,1,1,0,Diverged_in_single-cell
SNRPN,1,FALSE,0,1,1,1,1,1,0,Diverged_in_single-cell
SNTA1,1,FALSE,0,0,0,0,0.234803718,1,0,NA
SNTB1,1,FALSE,0,0,0,0,1,1,0,NA
SNTG1,1,FALSE,0,0,0,0,1,1,0,NA
SNTG2,1,FALSE,0,0,1,1,0.038502535,0.060949128,0,Diverged_in_single-cell
SNTN,1,FALSE,0,0,0,0,1,1,0,NA
SNUPN,1,FALSE,0,0,1,1,0.098111863,1,0,Diverged_in_single-cell
SNW1,1,FALSE,0,0,1,1,0.542691725,1,0,Diverged_in_single-cell
SNX1,1,FALSE,0,0,0,0,1,1,0,NA
SNX10,1,FALSE,0,0,0,0,1,1,0,NA
SNX11,1,FALSE,1,0,0,1,1,1,0,Diverged_in_single-cell
SNX12,1,FALSE,1,1,0,1,0.502229605,1,0,Diverged_in_single-cell
SNX13,1,FALSE,0,0,0,0,1,1,0,NA
SNX14,1,FALSE,0,0,0,0,1,1,0,NA
SNX16,1,FALSE,0,0,0,0,1,1,0,NA
SNX17,1,FALSE,0,1,1,1,0.030527007,1,0,Diverged_in_single-cell
SNX18,1,FALSE,0,0,0,0,1,1,0,NA
SNX19,1,FALSE,0,0,0,0,1,1,0,NA
SNX2,1,FALSE,0,0,0,0,0.83986679,1,0,NA
SNX21,1,FALSE,0,0,0,0,1,1,0,NA
SNX22,1,FALSE,0,0,0,0,0.667054765,1,0,NA
SNX24,1,FALSE,0,0,0,0,0.153766173,1,0,NA
SNX25,1,FALSE,0,0,0,0,1,1,0,NA
SNX27,1,FALSE,0,0,0,0,0.044108163,1,0,NA
SNX3,1,FALSE,0,0,0,0,1,1,0,NA
SNX30,1,FALSE,0,0,0,0,1,1,0,NA
SNX31,1,FALSE,0,0,0,0,1,1,0,NA
SNX32,1,FALSE,0,0,1,1,0.762989515,1,0,Diverged_in_single-cell
SNX33,1,FALSE,0,1,0,1,1,1,0,Diverged_in_single-cell
SNX4,1,FALSE,0,0,0,0,0.671616908,1,0,NA
SNX5,1,FALSE,0,1,0,1,1,1,0,Diverged_in_single-cell
SNX6,1,FALSE,0,0,0,0,1,1,0,NA
SNX7,1,FALSE,0,0,0,0,0.626090716,1,0,NA
SNX8,1,FALSE,0,0,0,0,1,1,0,NA
SNX9,1,FALSE,0,0,0,0,0.195823137,1,0,NA
SOAT1,1,FALSE,0,0,0,0,1,1,0,NA
SOAT2,0,FALSE,0,0,0,0,1,1,0,NA
SOBP,1,FALSE,0,0,0,0,0.380373448,1,0,NA
SOCS2,1,FALSE,0,0,0,0,1,1,0,NA
SOCS4,1,FALSE,0,0,0,0,0.905335908,1,0,NA
SOCS5,1,FALSE,0,0,0,0,1,1,0,NA
SOCS6,1,FALSE,0,0,0,0,0.998839095,1,0,NA
SOCS7,1,FALSE,0,0,0,0,1,1,0,NA
SOD1,1,FALSE,0,0,0,0,0.859108165,1,0,NA
